# t   x    y    z   vx   vy   vz
0.00 -98.00 -120.00 -127.00 -29.00 -174.00 93.00
0.10 -100.87 -137.36 -117.66 -28.34 -173.15 93.84
0.20 -103.67 -154.63 -108.24 -27.73 -172.28 94.54
0.30 -106.42 -171.81 -98.76 -27.18 -171.42 95.11
0.40 -109.11 -188.91 -89.22 -26.69 -170.59 95.56
0.60 -114.36 -222.88 -70.04 -25.85 -169.06 96.19
0.70 -116.93 -239.75 -60.41 -25.51 -168.38 96.40
0.80 -119.47 -256.56 -50.77 -25.21 -167.74 96.56
0.90 -121.97 -273.30 -41.11 -24.94 -167.16 96.67
1.00 -124.46 -289.99 -31.43 -24.71 -166.62 96.74
1.10 -126.92 -306.63 -21.76 -24.50 -166.13 96.80
1.20 -129.36 -323.22 -12.08 -24.32 -165.68 96.83
0.00 0.00 0.00 0.00 0.00 0.00 0.00
1.30 -131.78 -339.77 -2.39 -24.16 -165.27 96.84
1.40 -134.19 -356.27 7.29 -24.01 -164.89 96.83
1.50 -136.58 -372.74 16.97 -23.88 -164.54 96.82
1.60 -138.97 -389.18 26.65 -23.77 -164.22 96.80
1.70 -141.34 -405.59 36.33 -23.66 -163.93 96.77
1.80 -143.70 -421.97 46.01 -23.57 -163.66 96.74
1.90 -146.05 -438.32 55.68 -23.48 -163.41 96.71
2.00 -148.40 -454.65 65.35 -23.41 -163.17 96.67
2.10 -150.73 -470.96 75.01 -23.34 -162.96 96.64
2.20 -153.06 -487.24 84.68 -23.27 -162.76 96.60
2.30 -155.39 -503.51 94.34 -23.22 -162.57 96.57
2.40 -157.71 -519.76 103.99 -23.16 -162.39 96.53
2.50 -160.02 -535.99 113.64 -23.11 -162.23 96.50
2.60 -162.33 -552.21 123.29 -23.07 -162.07 96.46
2.70 -164.64 -568.41 132.93 -23.02 -161.93 96.43
2.80 -166.94 -584.59 142.57 -22.99 -161.79 96.39
2.90 -169.23 -600.76 152.21 -22.95 -161.67 96.36
3.00 -171.53 -616.93 161.85 -22.92 -161.54 96.33
3.10 -173.82 -633.07 171.48 -22.88 -161.43 96.30
3.20 -176.10 -649.21 181.11 -22.85 -161.32 96.26
3.30 -178.39 -665.34 190.73 -22.83 -161.22 96.24
3.40 -180.67 -681.46 200.35 -22.80 -161.12 96.21
3.50 -182.95 -697.56 209.97 -22.78 -161.03 96.18
3.60 -185.22 -713.66 219.59 -22.75 -160.94 96.15
3.70 -187.50 -729.75 229.20 -22.73 -160.86 96.12
