# t   x    y    z   vx   vy   vz
0.00 -98.00 -120.00 -127.00 -29.00 174.00 93.00
0.10 -100.50 -102.27 -117.29 -21.00 180.67 101.26
0.20 -102.10 -83.86 -106.69 -11.09 187.38 110.63
0.30 -102.59 -64.80 -95.10 1.36 193.85 121.32
0.40 -101.66 -45.13 -82.35 17.17 199.54 133.51
0.50 -98.93 -24.98 -68.31 37.44 203.45 147.33
0.60 -93.89 -4.62 -52.82 63.47 203.78 162.57
0.70 -85.90 15.44 -35.78 96.31 197.42 178.24
0.80 -74.32 34.30 -17.28 135.33 179.90 191.65
0.90 -58.78 50.67 2.19 175.37 147.44 197.75
1.00 -39.72 63.19 21.63 205.88 102.88 191.05
1.10 -18.45 71.17 39.79 219.46 56.73 172.14
1.20 3.43 74.88 55.76 218.14 17.59 147.31
1.30 24.72 75.15 69.22 207.81 -12.33 121.91
1.40 44.77 72.81 80.24 193.10 -34.31 98.39
1.50 63.25 68.58 89.02 176.62 -50.28 77.37
1.60 80.07 62.98 95.83 159.66 -61.82 58.77
1.70 95.19 56.38 100.88 142.80 -70.12 42.27
1.80 108.65 49.08 104.37 126.28 -75.96 27.55
1.90 120.47 41.29 106.47 110.19 -79.91 14.33
2.00 130.70 33.17 107.30 94.52 -82.34 2.35
2.10 139.39 24.88 106.99 79.24 -83.54 -8.56
2.20 146.57 16.52 105.64 64.30 -83.68 -18.56
2.30 152.27 8.19 103.32 49.65 -82.91 -27.76
2.40 156.51 -0.02 100.12 35.24 -81.33 -36.27
2.50 159.32 -8.04 96.10 21.02 -79.01 -44.18
2.60 160.72 -15.79 91.31 6.92 -76.02 -51.55
2.70 160.71 -23.21 85.81 -7.14 -72.40 -58.48
2.80 159.29 -30.24 79.63 -21.25 -68.15 -65.03
2.90 156.45 -36.81 72.82 -35.55 -63.25 -71.28
3.00 152.16 -42.85 65.39 -50.20 -57.63 -77.28
3.10 146.38 -48.29 57.37 -65.38 -51.17 -83.08
3.20 139.05 -53.04 48.78 -81.31 -43.67 -88.68
3.30 130.07 -56.96 39.64 -98.28 -34.84 -94.07
3.40 119.33 -59.92 29.98 -116.61 -24.25 -99.18
3.50 106.66 -61.69 19.83 -136.72 -11.22 -103.82
3.60 91.87 -61.99 9.26 -159.13 5.29 -107.62
3.70 74.69 -60.37 -1.61 -184.42 27.03 -109.75
3.80 54.83 -56.17 -12.51 -212.79 56.91 -108.22
3.90 32.07 -48.35 -22.82 -242.34 99.65 -97.99
4.00 6.87 -35.40 -31.05 -261.78 159.23 -66.61
