#t, x, y, z, vx, vy, vz
0.00 -378.00 611.00 -285.00 73.00 -72.00 50.00
0.01 -377.00 610.00 -284.00 73.00 -72.00 49.00
0.03 -376.00 609.00 -283.00 71.00 -73.00 52.00
0.04 -375.00 608.00 -282.00 70.00 -72.00 51.00
0.06 -374.00 607.00 -282.00 75.00 -75.00 51.00
0.07 -372.00 606.00 -281.00 74.00 -77.00 55.00
0.09 -371.00 605.00 -280.00 73.00 -78.00 55.00
0.10 -370.00 604.00 -280.00 73.00 -78.00 54.00
0.11 -369.00 603.00 -279.00 74.00 -77.00 52.00
0.13 -368.00 602.00 -278.00 72.00 -76.00 51.00
0.14 -367.00 601.00 -277.00 72.00 -75.00 51.00
0.16 -366.00 600.00 -277.00 76.00 -78.00 53.00
0.17 -365.00 599.00 -276.00 75.00 -77.00 51.00
0.19 -364.00 598.00 -275.00 73.00 -78.00 53.00
0.20 -363.00 597.00 -275.00 78.00 -79.00 51.00
0.21 -362.00 595.00 -274.00 72.00 -77.00 52.00
0.23 -361.00 594.00 -273.00 73.00 -77.00 50.00
0.24 -360.00 593.00 -273.00 75.00 -79.00 50.00
0.26 -359.00 592.00 -272.00 73.00 -78.00 49.00
0.27 -357.00 591.00 -271.00 73.00 -80.00 52.00
0.29 -356.00 590.00 -270.00 71.00 -80.00 51.00
0.30 -355.00 589.00 -270.00 73.00 -83.00 53.00
0.31 -354.00 588.00 -269.00 70.00 -79.00 50.00
0.33 -353.00 586.00 -268.00 70.00 -81.00 52.00
0.34 -352.00 585.00 -268.00 71.00 -83.00 53.00
0.36 -351.00 584.00 -267.00 72.00 -83.00 50.00
0.37 -350.00 583.00 -266.00 69.00 -82.00 51.00
0.39 -349.00 582.00 -266.00 72.00 -83.00 50.00
0.40 -348.00 581.00 -265.00 70.00 -83.00 50.00
0.41 -347.00 580.00 -264.00 68.00 -81.00 47.00
0.43 -346.00 578.00 -264.00 69.00 -83.00 47.00
0.44 -345.00 577.00 -263.00 69.00 -83.00 46.00
0.46 -344.00 576.00 -262.00 66.00 -83.00 46.00
0.47 -343.00 575.00 -262.00 70.00 -84.00 44.00
0.49 -342.00 574.00 -261.00 71.00 -84.00 45.00
