#t, x, y, z, vx, vy, vz
0.00 -1.00 3.00 -1.00 0.00 2.00 -0.00
0.01 -1.00 3.00 -1.00 0.00 2.00 -0.00
0.03 -1.00 3.00 -1.00 0.00 3.00 -2.00
0.04 -1.00 3.00 -1.00 -0.00 6.00 -1.00
0.06 -1.00 3.00 -1.00 -0.00 6.00 -1.00
0.07 -1.00 3.00 -1.00 -1.00 6.00 -0.00
0.09 -1.00 3.00 -1.00 -2.00 8.00 -1.00
0.10 -1.00 3.00 -2.00 -2.00 5.00 -2.00
0.11 -2.00 3.00 -2.00 -2.00 9.00 -1.00
0.13 -2.00 3.00 -2.00 -2.00 8.00 -1.00
0.14 -2.00 3.00 -2.00 -4.00 9.00 -1.00
0.16 -2.00 3.00 -2.00 -5.00 10.00 -1.00
0.17 -2.00 3.00 -2.00 -7.00 10.00 -0.00
0.19 -2.00 3.00 -2.00 -6.00 10.00 -0.00
0.20 -2.00 3.00 -2.00 -7.00 8.00 0.00
0.21 -2.00 3.00 -2.00 -4.00 8.00 0.00
0.23 -2.00 3.00 -2.00 -4.00 7.00 -0.00
0.24 -2.00 4.00 -2.00 -4.00 6.00 1.00
0.26 -2.00 4.00 -2.00 -4.00 8.00 -0.00
0.27 -2.00 4.00 -2.00 -4.00 7.00 -0.00
0.29 -2.00 4.00 -2.00 -4.00 7.00 -0.00
0.30 -3.00 4.00 -2.00 -6.00 8.00 1.00
0.31 -3.00 4.00 -2.00 -4.00 7.00 2.00
0.33 -3.00 4.00 -2.00 -6.00 9.00 1.00
0.34 -3.00 4.00 -2.00 -8.00 8.00 1.00
0.36 -3.00 4.00 -2.00 -7.00 8.00 1.00
0.37 -3.00 4.00 -2.00 -9.00 9.00 -0.00
0.39 -3.00 5.00 -2.00 -9.00 8.00 -1.00
0.40 -3.00 5.00 -2.00 -9.00 9.00 -2.00
0.41 -3.00 5.00 -2.00 -8.00 10.00 -3.00
0.43 -3.00 5.00 -2.00 -8.00 12.00 -2.00
0.44 -3.00 5.00 -2.00 -10.00 12.00 -2.00
0.46 -3.00 5.00 -2.00 -5.00 11.00 -2.00
0.47 -3.00 5.00 -2.00 -7.00 9.00 -3.00
0.49 -3.00 5.00 -2.00 -6.00 10.00 -2.00
0.50 -3.00 6.00 -2.00 -4.00 9.00 -3.00
0.51 -4.00 6.00 -2.00 -2.00 12.00 -2.00
0.53 -4.00 6.00 -2.00 -3.00 10.00 -3.00
0.54 -4.00 6.00 -2.00 -3.00 9.00 -3.00
0.56 -4.00 6.00 -2.00 -2.00 8.00 -4.00
0.57 -4.00 6.00 -2.00 -3.00 8.00 -2.00
0.59 -4.00 6.00 -2.00 -4.00 5.00 -2.00
0.60 -4.00 6.00 -2.00 -6.00 5.00 -1.00
0.61 -4.00 6.00 -2.00 -6.00 4.00 -2.00
0.63 -4.00 6.00 -2.00 -5.00 5.00 -3.00
0.64 -4.00 7.00 -2.00 -4.00 5.00 -2.00
0.66 -4.00 7.00 -2.00 -3.00 5.00 0.00
0.67 -4.00 7.00 -2.00 -5.00 5.00 -1.00
0.69 -4.00 7.00 -2.00 -5.00 7.00 0.00
0.70 -4.00 7.00 -2.00 -7.00 5.00 -1.00
0.71 -4.00 7.00 -2.00 -8.00 6.00 -1.00
0.73 -5.00 7.00 -2.00 -10.00 9.00 -2.00
0.74 -5.00 7.00 -2.00 -10.00 12.00 -3.00
0.76 -5.00 8.00 -2.00 -6.00 12.00 -3.00
0.77 -5.00 8.00 -2.00 -7.00 11.00 -6.00
0.79 -5.00 8.00 -3.00 -7.00 11.00 -7.00
0.80 -5.00 8.00 -3.00 -6.00 10.00 -6.00
0.81 -5.00 8.00 -3.00 -7.00 9.00 -8.00
0.83 -5.00 8.00 -3.00 -9.00 8.00 -10.00
0.84 -5.00 9.00 -3.00 -7.00 8.00 -10.00
0.86 -5.00 9.00 -3.00 -8.00 6.00 -10.00
0.87 -5.00 9.00 -3.00 -10.00 9.00 -9.00
0.89 -5.00 9.00 -3.00 -11.00 10.00 -8.00
0.90 -6.00 9.00 -3.00 -14.00 11.00 -8.00
0.91 -6.00 9.00 -4.00 -14.00 13.00 -7.00
0.93 -6.00 10.00 -4.00 -9.00 11.00 -9.00
0.94 -6.00 10.00 -4.00 -9.00 12.00 -8.00
